"고유번호","작품분류코드","작품분류명","관리번호(년도)","관리번호(번호)","작품명(국문)","작품명(영문)","작품규격","액자규격","제작년도","재료/기법","기증자","수집년도","소장처분류코드","소장처분류명","작품캡션","작가명","메인이미지","썸네일이미지"
"2816","A01","한국화","2010","9","致虛 - 비우다","","150 X 250","152*252cm","2006","한지에 수묵","","2010","B02","북서울미술관 수장고","","이철주","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6194","http://collections.eseoul.go.kr/data/art/thumb/2816.jpg"
"2817","A01","한국화","2010","10","사랑가-1","","140.8*200.5cm","159.6*219.7cm","2007","한지에 석채","","2010","B02","북서울미술관 수장고","","임정기","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6197","http://collections.eseoul.go.kr/data/art/thumb/2817.jpg"
"2818","A01","한국화","2010","11","김 치~","","140 X 160","","2008","장지에 먹, 아크릴","","2010","B02","북서울미술관 수장고","","정유미","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6200","http://collections.eseoul.go.kr/data/art/thumb/2818.jpg"
"2819","A01","한국화","2010","12","보자기 부인","","170 X 75","","2007","종이, 천, 안료, 염료","","2010","B02","북서울미술관 수장고","","정종미","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6203","http://collections.eseoul.go.kr/data/art/thumb/2819.jpg"
"2820","A02","회화","2010","13","삶의 무게","","84 X 120","100*138cm","1998","종이, 천 위에 아크릴","","2010","B02","북서울미술관 수장고","","고영훈","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6206","http://collections.eseoul.go.kr/data/art/thumb/2820.jpg"
"2821","A02","회화","2010","14","","John F. Kennedy  & Marilyn Monroe","227.3 X 181.8","","2009","캔버스에 유채","","2010","B02","북서울미술관 수장고","","김동유","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6209","http://collections.eseoul.go.kr/data/art/thumb/2821.jpg"
"2822","A02","회화","2010","15","글라디올러스","","122 X 91","123*92.5cm","1983","캔버스에 유채","","2010","B02","북서울미술관 수장고","","김병기","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6210","http://collections.eseoul.go.kr/data/art/thumb/2822.jpg"
"2823","A02","회화","2010","16","배꽃","","130 X 97","137*103.5cm","2009","oil on linen","","2010","B02","북서울미술관 수장고","","김정선","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6211","http://collections.eseoul.go.kr/data/art/thumb/2823.jpg"
"2824","A02","회화","2010","17","잡초","","190 X 260","","2002","나무패널 위에 혼합재료","","2010","B02","북서울미술관 수장고","김종학(1954― )은 서울대학교 회화과와 동 대학원에서 미술교육학을 전공하고, 1989년 파리국립미술학교에서 수학했다. 1982년 중앙미술 대전 특선, 1983년 제1회 대한민국미술대전 특선, 1984년 동아미술제 동아 미술상, 1997년 토탈 미술대상, 2011년 제23회 이중섭미술상 등을 수상하였다. 2002년―2003년 국립창동미술창작스튜디오 입주작가로 선정되어 활동하였다. 현재 세종대학교 회화과 교수로 재직 중이다.  김종학의 작품세계는 크게 프랑스 유학 전과 후로 나눌 수 있다. 유학 전 그의 관심사는 인간의 존재와 실존, 더불어 그가 직면해 있던 작가로서 그리고 한 인간으로서의 난제들이었다. 1980년대 초반 발표했던 〈인간의 굴레〉 시리즈는 뚫고 나갈 수 없는 흰 천에 갇혀 탈출을 갈망하는 절박한 몸부림을 극사실적으로 그려내었다. 자신을 막아선 장막과 밀폐된 공간을 찢어내려는 듯 온 힘을 다해 천을 움켜잡은 손과 밀착된 몸은 너무나 사실적이어서 다가가 도움의 손길을 내밀고 싶게 한다. 그러나 날카롭게 찢긴 천의 틈으로 살짝 내비치는 내부의 모습은 이것이 실제 상황이 아니라 착시를 일으키는 평면의 그림임을 알려주는 열쇠가 된다. 유학에서 돌아온 후 두드러진 변화는 초기작들에서 보여준 강박증적 움직임, 절박함 등 극단적 감정의 극복이다. 이 시기부터 화면에는 인체가 아닌 사과, 배, 포도송이, 생선 가시 등 평범한 사물들이 등장하고, 극사실적 착시를 만들어내던 매끄러운 화면 대신 거친 바탕의 물성과 질감, 표현적인 붓놀림이 자리하게 되었다. 이러한 변모는 우선 지지체의 변화에서 비롯되었다. 그는 파리의 거리에서 쉽게 발견할 수 있는 포스터들을 모아 배접하여 지지체를 두텁게 만들고 그 위에 흰색이나 검은색 바탕칠을 한다. 바탕색을 엷게 칠한 경우 포스터의 문자나 이미지가 비쳐 일견 차용적 요소를 가미할 수 있게 되며, 두껍게 칠해진 바탕색은 겹겹으로 배접된 종이의 층이 두드러지며 강한 물성을 드러내게 된다. 또한 종이의 연결 부분을 갈색으로 채색하여 부식된 철판처럼 보이게 하고 이를 나사로 조여 준 것은 극사실적 착시를 일으켰던 초기작에 실제 오브제가 가미된 혼합적 양상이라 볼 수 있다. 이는 “단순히 그림을 그리기 위한 바탕이 아니라 그 바탕마저도 작품의 일부로 통합하여 물질의 존재감에 의미를 부여하고 있는 셈이다.”(서성록)  〈잡초〉(2002)는 파리 유학에서 돌아와 평범한 일상의 사물이 화면에 등장하기 시작한 것의 연장선에 있는 작품이다. 패널에 칠해진 흰 바탕 위에 이름을 알 수 없는 검은색 식물 형상과 더불어 그의 작품의 특징적 구성요소인 볼트 오브제가 사용되었다. 여백이 많은 바탕과 검은 식물의 형상은 수묵으로 그려낸 화조의 동양적 감수성을 불러일으키면서도 거친 필치의 표현적 성향이 두드러지는 이미지와 오브제의 병치는 정적인 무채색 화면에 역동성과 실험성을 부여한다. ","김종학(1954)","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6214","http://collections.eseoul.go.kr/data/art/thumb/2824.jpg"
"2825","A02","회화","2010","18","","Urban Utopia 08-08","130 X 160","136*165cm","2008","black mirror, plain glass,  mirror ink, mixed color,  laminate","","2010","B02","북서울미술관 수장고","","김준기","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6215","http://collections.eseoul.go.kr/data/art/thumb/2825.jpg"
"2826","A02","회화","2010","19","정 靜","","162 X 129.5","165*132cm","1968","캔버스에 유채","","2010","B02","북서울미술관 수장고","","남관","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6217","http://collections.eseoul.go.kr/data/art/thumb/2826.jpg"
"2827","A02","회화","2010","20","전자정원","","72.7 X 91.9","90*108.3cm","2005","Mixed Media on canvas","","2010","B02","북서울미술관 수장고","","박세진","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6218","http://collections.eseoul.go.kr/data/art/thumb/2827.jpg"
"2828","A02","회화","2010","21","","Layers, Dimensions","162 X 130.3","","2009","adhesive sheet on canvas","","2010","B02","북서울미술관 수장고","","박종규","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6219","http://collections.eseoul.go.kr/data/art/thumb/2828.jpg"
"2829","A02","회화","2010","22","","Rhythm","152*121.5*11.3cm","161.2131.3*11.3cm","2009","oil on panel","","2010","B02","북서울미술관 수장고","","박현수","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=14300","http://collections.eseoul.go.kr/data/art/thumb/14300.jpg"
"2830","A02","회화","2010","23","무제-2010","Untitled-2010","130 X 211.5","","2010","oil on canvas","","2010","B02","북서울미술관 수장고","","신문용","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6223","http://collections.eseoul.go.kr/data/art/thumb/2830.jpg"
"2831","A02","회화","2010","24","6월의 양귀비","","74 X 92","76*94cm","2009","oil on canvas","","2010","B02","북서울미술관 수장고","","오수경","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6224","http://collections.eseoul.go.kr/data/art/thumb/2831.jpg"
"2832","A02","회화","2010","25","숲, 바람- 默 2009","The Forest, The Wind-Silence 2009","117 X 234","120*237cm","2009","캔버스에 아크릴릭","","2010","B02","북서울미술관 수장고","","유병훈","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6227","http://collections.eseoul.go.kr/data/art/thumb/2832.jpg"
"2833","A02","회화","2010","26","","PIN 20090811","65 X 200","","2009","나무위에 못과 아크릴릭","","2010","B02","북서울미술관 수장고","","유봉상","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6228","http://collections.eseoul.go.kr/data/art/thumb/2833.jpg"
"2834","A02","회화","2010","27","","PIN 20090330","65 X 200","","2009","나무위에 못과 아크릴릭","","2010","B02","북서울미술관 수장고","","유봉상","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6229","http://collections.eseoul.go.kr/data/art/thumb/2834.jpg"
"2835","A02","회화","2010","28","자연의 해석-생성, 소멸","","72.7 X 90.7 X 3 pieces","74*93ccm","2009","Mixed media on Canvas","","2010","B02","북서울미술관 수장고","","이금희","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6230","http://collections.eseoul.go.kr/data/art/thumb/2835.jpg"
"2836","A02","회화","2010","29","生의空間","","97 X 162","104.5*169ccm","2009","캔버스에 아크릴릭","","2010","B02","북서울미술관 수장고","","이기전","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6233","http://collections.eseoul.go.kr/data/art/thumb/2836.jpg"
"2837","A02","회화","2010","30","","icon","91 X 182","","2009","acrylic, resin object  on canvas","","2010","B02","북서울미술관 수장고","","이동재","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6236","http://collections.eseoul.go.kr/data/art/thumb/2837.jpg"
"2838","A02","회화","2010","31","핵 '77","Core '77","173.7 X 130.9","186*143cm","1968","oil on canvas","","2010","B02","북서울미술관 수장고","","이승조","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6237","http://collections.eseoul.go.kr/data/art/thumb/2838.jpg"
"2839","A02","회화","2010","32","덴마크 여왕","Denmark Queen","120 X 100","120*100cm","2008","Chromogenic print on diasec","","2010","B02","북서울미술관 수장고","","이이남","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6238","http://collections.eseoul.go.kr/data/art/thumb/2839.jpg"
"2840","A02","회화","2010","33","","97","106*135*7cm","109*161.5*7cm","1990","Mixed technique, Casein,  Serigraph, Paper, Wood","","2010","B02","북서울미술관 수장고","","이자경","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6239","http://collections.eseoul.go.kr/data/art/thumb/2840.jpg"
"2841","A02","회화","2010","34","","Show-window story","80 X 130","81.5*131.5cm","2009","oil on canvas","","2010","B02","북서울미술관 수장고","","이흠","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6242","http://collections.eseoul.go.kr/data/art/thumb/2841.jpg"
"2842","A02","회화","2010","35","삶은 즐거워 Ⅰ","","110.5*192.2cm","132.5*214.2cm","1992","캔버스에 유채","","2010","B02","북서울미술관 수장고","","장두건","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6245","http://collections.eseoul.go.kr/data/art/thumb/2842.jpg"
"2843","A02","회화","2010","36","나무","","40 X 31.5","","1989","캔버스에 유채","","2010","B02","북서울미술관 수장고","장욱진(1918―1990)은 1939년 일본으로 유학하여 도쿄 제국미술학교에서 서양화를 배웠다. 1964년 첫 개인전 이후 수많은 개인전을 가졌으며, 1986년 국립현대미술관의 〈한국 현대미술의 어제와 오늘〉을 비롯한 다수의 단체전에 초대되었다. 1945년부터 국립중앙박물관 학예관으로 근무한 바 있으며, 서울대학교 미술대학 교수를 지냈다.  장욱진의 작업은 어린아이의 그림과 같은 순진무구하고 단순한 조형성을 보여준다. 이러한 조형성은 대상에 대한 지식이 아니라 그에 대한 감정을 한국적 정서와 자연친화적 태도를 바탕으로 순수하게 응축시킨 장욱진 특유의 미학이다. 초기에는 자신의 고향과 관련된 향토적인 내용을 소박하게 표현하였고, 이후에는 사람과 집, 산과 나무, 개, 까치, 해와 달 등의 자연 이미지로 그 대상이 압축되었다. 이러한 도상은 단순하게 기호화되어 작품에 반복적으로 등장하면서 순수함이라는 보편성을 갖게 되었다. 또한 이전의 두툼한 마티에르를 버리고 유화물감을 묽게 사용하여 수묵화 같은 효과를 내면서 투명하고 담백한 우리 고유의 미의식을 드러내었다. 이와 같이 순수한 동심과 한국적 회화관이 담겨 있는 그의 작업은 탈속과 자연에의 동화라는 이상적 삶에 대한 작가의 동경을 표현한 것이다.  〈나무〉(1989)에는 둥근 나무 두 그루가 대칭적으로 배치되어 있으며, 그 위로 새와 해가 그려져 있다. 원근법을 따르지 않는 평면적 구도이지만, 나무, 새, 해의 극단적인 크기 대비와 건물처럼 위로 쌓이는 위계에 따라 거리감이 암시적으로 드러난다. 아랫부분에 지나가는 사람과 작은 개의 방향성은 자칫 지루할 수 있는 대칭적 구도에 작은 파격을 더하여 작품에 생동감을 주고 전체적인 조화를 완성한다. 화면에 구현된 이러한 공간감은 현실적인 풍경으로는 보이지 않는다. 하지만 자연 속에 자그마한 집이 있고, 그 속에서 인간과 동물이 함께하는 모습은 인간과 자연의 공생과 합일이라는 이상적 삶을 지향하는 작가의 세계관의 표상이다. ","장욱진","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6246","http://collections.eseoul.go.kr/data/art/thumb/2843.jpg"
"2844","A02","회화","2010","37","","Time-Space","가변 84 X 164","","2009","Canvas-Relief","","2010","B02","북서울미술관 수장고","","장재철","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6247","http://collections.eseoul.go.kr/data/art/thumb/2844.jpg"
"2845","A02","회화","2010","38","아라크네의 부엌","Sympathiser avec la cusine","96.5 X 193.5","105.5*203cm","2009","acrylic on canvas","","2010","B02","북서울미술관 수장고","","장혜정","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6248","http://collections.eseoul.go.kr/data/art/thumb/2845.jpg"
"2846","A02","회화","2010","39","","Overflow","193.9 X 130.3","","2010","acrylic, photocopy transfer  on canvas","","2010","B02","북서울미술관 수장고","","정경미","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6249","http://collections.eseoul.go.kr/data/art/thumb/2846.jpg"
"2847","A02","회화","2010","40","","No.4 Soul","183 X 393","183.8*393.8cm","2009","흑연스틱을 사용한  프로타주기법","","2010","B02","북서울미술관 수장고","","정명국","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6250","http://collections.eseoul.go.kr/data/art/thumb/2847.jpg"
"2848","A02","회화","2010","41","광야","","193.9 X 259.1","196.5*261.8cm","2004","Acrylic on Canvas","","2010","B02","북서울미술관 수장고","","조문자","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6251","http://collections.eseoul.go.kr/data/art/thumb/2848.jpg"
"2849","A02","회화","2010","42","기하학적 칼 드로잉 09-03-09","","150.5 X 123.2","","2009","폴리에스터 베이스 초 광택 컬러사진 유제면 위에 나이핑, 칼,  에나멜, UV 바니쉬","","2010","B02","북서울미술관 수장고","","조병왕","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6252","http://collections.eseoul.go.kr/data/art/thumb/2849.jpg"
"2850","A02","회화","2010","43","","The temperature of romance","100 X 120 X 8","112*132*8cm","2007","oil on canvas","","2010","B02","북서울미술관 수장고","","주진스","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6253","http://collections.eseoul.go.kr/data/art/thumb/2850.jpg"
"2851","A02","회화","2010","44","","Abstraktes Bild 22-35-A-1","200*120cm","202.5*122.5cm","2003","Vutek ink on mesh  mounted on canvas","","2010","B02","북서울미술관 수장고","","코디 최","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6256","http://collections.eseoul.go.kr/data/art/thumb/2851.jpg"
"2852","A02","회화","2010","45","","Mutatis Mutandis ll","172.7 X 172.7","","1999","acrylic on linen","","2010","B02","북서울미술관 수장고","","폴 헉슬리","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6259","http://collections.eseoul.go.kr/data/art/thumb/2852.jpg"
"2853","A02","회화","2010","46","생명의 변주","variation of life","170 X 132","","2009","oil on wood","","2010","B02","북서울미술관 수장고","","현정아","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6260","http://collections.eseoul.go.kr/data/art/thumb/2853.jpg"
"2854","A03","드로잉&판화","2010","47","","dialogue","100 X 120","112.5*134cm","2007","gravure carborundum","","2010","B01","서소문본관 수장고","","이우환","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6261","http://collections.eseoul.go.kr/data/art/thumb/2854.jpg"
"2855","A03","드로잉&판화","2010","48","","dialogue","100 X 120","112.5*134cm","2007","gravure carborundum","","2010","B01","서소문본관 수장고","","이우환","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6264","http://collections.eseoul.go.kr/data/art/thumb/2855.jpg"
"2856","A03","드로잉&판화","2010","49","","Head","102 X 102","120*120cm","1983/2001","screenprint","","2010","B01","서소문본관 수장고","","장미셸 바스키아","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6267","http://collections.eseoul.go.kr/data/art/thumb/2856.jpg"
"2857","A04","조각","2010","50","작품 3","","152 X 45 X 44","","1986","나무","","2010","B02","북서울미술관 수장고","","김봉구","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6270","http://collections.eseoul.go.kr/data/art/thumb/2857.jpg"
"2858","A04","조각","2010","51","작품 4","","149 X 36 X 32","","1985","나무","","2010","B02","북서울미술관 수장고","","김봉구","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6271","http://collections.eseoul.go.kr/data/art/thumb/2858.jpg"
"2859","A04","조각","2010","52","","Point of View 09-07","114 X 87 X 48","","2009","coloring on mixed media","","2010","B02","북서울미술관 수장고","","박선기","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6273","http://collections.eseoul.go.kr/data/art/thumb/2859.jpg"
"2860","A04","조각","2010","53","","moderation 35","165 X 28 X 28","","2009","green&black granite","","2010","B02","북서울미술관 수장고","","박은선(1965)","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6274","http://collections.eseoul.go.kr/data/art/thumb/2860.jpg"
"2861","A04","조각","2010","54","","moderation 36","172 X 30 X 30","","2009","green&black granite","","2010","B02","북서울미술관 수장고","","박은선(1965)","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6275","http://collections.eseoul.go.kr/data/art/thumb/2861.jpg"
"2862","A04","조각","2010","55","","dots","19*150*150cm","","2010","stainless steel","","2010","B02","북서울미술관 수장고","","신한철","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6276","http://collections.eseoul.go.kr/data/art/thumb/2862.jpg"
"2863","A04","조각","2010","56","","BEING ITSELF","110 X 130 X 15","","2007","Stainless steel","","2010","B02","북서울미술관 수장고","","심부섭","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6278","http://collections.eseoul.go.kr/data/art/thumb/2863.jpg"
"2864","A04","조각","2010","57","","Kwanon-z","35 X 40 X 30","","2010","Urethane, Metal, Motor","","2010","B02","북서울미술관 수장고","","왕지원","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6279","http://collections.eseoul.go.kr/data/art/thumb/2864.jpg"
"2865","A04","조각","2010","58","해빙","","68 X 32 X 10","","2000","bronze","","2010","B02","북서울미술관 수장고","","원인종","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6280","http://collections.eseoul.go.kr/data/art/thumb/2865.jpg"
"2866","A04","조각","2010","59","","Relationship-05","62 X 230 X 15","36*230*15cm","2005","혼합재료","","2010","B02","북서울미술관 수장고","","이승리","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6282","http://collections.eseoul.go.kr/data/art/thumb/2866.jpg"
"2867","A04","조각","2010","60","기울어진 책장 1001","","136 X 115 X 60","","2010","철 위에 분채 도색,  F.R.P 위에 우레탄 도색","","2010","B02","북서울미술관 수장고","","전강옥","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6283","http://collections.eseoul.go.kr/data/art/thumb/2867.jpg"
"2868","A04","조각","2010","61","","The One","78 X 25 X 25","","2007","oil on resin","","2010","B02","북서울미술관 수장고","","최수앙","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6288","http://collections.eseoul.go.kr/data/art/thumb/2868.jpg"
"2869","A04","조각","2010","62","","The Girl","45*45*45cm","22*50.5*50.5cm","2008","oil on resin, crystal resin,  조명장치","","2010","B02","북서울미술관 수장고","최수앙(1975― )은 2002년 서울대학교 미술대학 조소과를 졸업하고 2005년 동 대학원을 졸업하였다. 성곡미술관, 대안공간 루프, 두산갤러리 및 파리의 알베르베나무 갤러리, 싱가폴 아트시즌스 갤러리 등에서 개인전을 가졌으며, 2005년 〈City_net Asia 2005〉(서울시립미술관)를 비롯한 다수의 단체전에 참여하였다.  최수앙은 현대사회의 시스템에 종속된 개인들의 상실감과 불안한 심리를 변형되고 왜곡된 인체 형상으로 표현해 왔다. 다름을 용납하지 않는 획일화된 가치 체계 안에 갇힌 현대인의 무기력한 상황은 작가에 의해 ‘식물인간(Vegetative State)’, ‘소양증(Pruritus)’, ‘아스퍼거 증후군(Asperger Syndrome)’이라는 병리적 상태로 명명된다. 작가는 이를 위해 '거인과 작은 요정들이 함께 살아가는 마을'이라는 문학적 메타포를 제시하고, 10―20cm 크기의 미니어처 인물상에 현대의 인간을 투영한다. 거인들에 적응하며 살아가는 작은 요정들의 이야기는 현대사회의 지배적 시스템에 순응하는 인간의 모습에 다름 아니다. 매우 정교하고 극사실적인 인체는 구체적 환경을 묘사한 무대적 장치 안에 놓인 채 그것이 처한 불안정한 상황을 생생한 표정과 몸짓으로 보여준다. 총에 맞아 머리가 부서진 사람, 컬러 잉크를 토해내는 사람, 실험용 쥐로 변한 사람, 쓰레기통에 내던져진 사람 등 다소 섬뜩하고 엽기적인 모습의 인물들은 주체의 자율성을 상실한 상태로 환경의 위협 앞에 속수무책인 모습인데, 이는 작가가 말하는 세 가지 병리적 상태의 인간으로 비유된다.  미니어처 크기였던 최수앙의 인체 조각은 2007년부터 커지기 시작하였다. 정교함은 그대로 유지한 채 확대된 인물상은 실제 살아있는 사람을 보는 것 같은 시각적 효과를 더하며 인간의 현실적인 삶의 문제를 더욱 생생하게 드러낸다. 특히 최근 작품들은 단독의 인물상으로 많이 나타나는데, 〈The Girl〉(2008)의 소녀는 붉은 방석 위에 무릎을 꿇고 허벅지와 무릎을 붙인 채 종아리를 양쪽으로 벌려 앉는 자세로 앉아있다. 이는 인체의 해부학적 구조상 여성들이 쉽게 취할 수 있는 자세로서, 이 작품이 성에 대한 관념을 다루고 있음을 보여준다. 또한 붉은 방석은 생리혈을 암시하는 것으로, 소녀의 시무룩한 표정은 여성으로서 겪는 숙명을 피해갈 수 없음을 의미한다. ","최수앙","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6290","http://collections.eseoul.go.kr/data/art/thumb/2869.jpg"
"2870","A04","조각","2010","63","회상","","151 X 27 X 21","","2008","나무(한옥 古材)","","2010","B02","북서울미술관 수장고","","홍순모","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6293","http://collections.eseoul.go.kr/data/art/thumb/2870.jpg"
"2871","A04","조각","2010","64","","Face","90 X 60 X 45 X 2pieces","","2008~9","Mixed Media","","2010","B02","북서울미술관 수장고","","황호섭","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6294","http://collections.eseoul.go.kr/data/art/thumb/2871.jpg"
"2872","A06","공예","2010","65","和-1","Harmony-1","82*82cm","95*95cm","2003","hemp(대마) /  weaving","","2010","B02","북서울미술관 수장고","","이복희","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6298","http://collections.eseoul.go.kr/data/art/thumb/2872.jpg"
"2873","A06","공예","2010","66","和-2","Harmony-2","82*82cm","95*95cm","2003","hemp(대마) / weaving","","2010","B02","북서울미술관 수장고","","이복희","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6299","http://collections.eseoul.go.kr/data/art/thumb/2873.jpg"
"2874","A06","공예","2010","67","","Infinite","지름 80 X 150","","2009","혼합점토, 금속볼트,  가압성형","","2010","B02","북서울미술관 수장고","","이은미","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6300","http://collections.eseoul.go.kr/data/art/thumb/2874.jpg"
"2875","A07","사진","2010","68","","the green pond","65*146cm","","2009","디지털프린트","","2010","B01","서소문본관 수장고","","금혜원","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6302","http://collections.eseoul.go.kr/data/art/thumb/2875.jpg"
"2876","A07","사진","2010","69","","The Costume of Painter- A. Tadema Flower Vase hy","178.5*113.5cm","183.5*118.5cm","2007","Lenticular","","2010","B01","서소문본관 수장고","배준성(1967― )은 1990년 서울대학교 미술대학을 졸업하고 2000년 동 대학원에서 석사학위를 취득하였다. 1996년부터 서울을 비롯하여 프랑스, 독일에서 다수의 개인전을 가졌다. 1995년 정경자 미술문화재단 신인예술가상을 수상하였고, 2000년 오늘의 젊은 예술가상을 수상하였다.  배준성의 작업은 작품을 바라보는 관람자들에게 흥미로운 참여를 유도한다. 1990년대 중반 초기 작업에서는 여성 모델이 있는 흑백 사진 위에 투명한 비닐을 덮어놓은 작품을 제작하였다. 사진 속 여성 모델은 대부분 누드이거나 속옷만을 입고 있으며, 그 위에 덮인 투명 비닐에는 화려하고 아름다운 옷들이 그려져 있다. 따라서 관람자가 그 투명 비닐을 들쳐보기만 하면 적나라한 여성의 누드와 대면하게 된다. 이렇게 그의 작품은 여성의 누드를 바라보는 관음증적 시선을 자극한다. 남성으로서의 작가와 대상으로서의 여성 사이에서 시작된 관음증적 시선은, 관람자에게로 전해져 이 ‘관음증 놀이’에 참여하도록 유도한다. 그의 작품은 2006년부터 새로운 매체와 함께 더욱 발전한다. 작품에서 비닐을 들추어보는 노력 없이 약간의 시선의 움직임만으로 같은, 혹은 더욱 노련한 효과를 낼 수 있는 렌티큘러 방식을 채택한다. 렌티큘러는 시선의 조그만 움직임을 통해서 한 화면 안에 여러 개의 이미지를 볼 수 있는 방식이다.  〈The Costume of Painter― A. Tadema Flower Vase hy〉(2007)는 렌티큘러로 제작되었다. 제목에서도 알 수 있듯이, 작가는 서양 미술사의 명화 중 하나인 네덜란드 출신의 영국 작가 앨머―태디마(Lawrence Alma―Tadema)의 작품 이미지를 차용한다. 화면 가운데에는 아름다운 드레스를 입은 여인이 꽃병 옆에 우아한 자태로 앉아있다. 하지만 이 옷은 시선의 움직임에 따라 사라지고, 따라서 여인의 누드가 그대로 드러난다. 이 작품을 통해 작가는 제시된 작품을 수동적으로만 바라보던 관람자의 위치를 변화시킨다. 자신의 움직임에 따라 변화하는 작품을 통해 관람자들은 능동적인 응시, 더 나아가 능동적인 관음에 참여하게 된다. ","배준성","http://collections.eseoul.go.kr/common/file/getImage.do?size=700=6308","http://collections.eseoul.go.kr/data/art/thumb/2876.jpg"
